City/Town,Population,Total Case Counts,Two Week Case Counts,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Testing Rate,Report Date
West Bridgewater,7286,594,67,11904,1191,81,16346.82,1/28/21
West Brookfield,3704,191,35,5701,480,37,12959.39,1/28/21
West Newbury,4036,144,21,5360,475,21,11767.96,1/28/21
West Springfield,29348,2052,261,37085,3853,328,13128.72,1/28/21
West Stockbridge,1175,33,6,1634,177,8,15062.33,1/28/21
West Tisbury,2871,78,8,4138,293,8,10204.47,1/28/21
Westborough,18711,1107,104,32565,3598,120,19229.20,1/28/21
Westfield,41355,2255,322,48196,4989,374,12063.82,1/28/21
Westford,23089,932,124,26946,2435,134,10546.05,1/28/21
Westhampton,1711,47,9,1066,116,9,6778.82,1/28/21
Westminster,7316,379,68,8942,788,74,10771.43,1/28/21
Weston,10982,390,49,26074,3956,55,36023.49,1/28/21
Westport,16752,1169,149,19259,2081,184,12422.23,1/28/21
Westwood,14695,731,126,23217,2749,134,18706.81,1/28/21
Weymouth,56177,3687,525,68959,8315,609,14801.35,1/28/21
Whately,1451,52,6,1192,124,8,8542.96,1/28/21
Whitman,15539,955,157,16727,1753,174,11281.20,1/28/21
Wilbraham,14533,1003,124,31218,2732,160,18798.01,1/28/21
Williamsburg,2458,50,5,4821,528,5,21478.50,1/28/21
Williamstown,7178,192,15,48394,2041,15,28432.23,1/28/21
Wilmington,24460,1688,171,31048,3090,192,12632.73,1/28/21
Winchendon,10765,490,82,11057,1147,91,10654.79,1/28/21
Winchester,22284,936,114,44684,4900,131,21988.59,1/28/21
Windsor,845,16,9,726,93,9,11001.91,1/28/21
Winthrop,18868,1853,232,51631,5114,304,27103.89,1/28/21
Woburn,41525,3335,389,65295,7283,464,17538.82,1/28/21
Worcester,191575,18721,1917,501776,36234,2180,18913.77,1/28/21
Worthington,1047,26,6,1309,158,8,15094.65,1/28/21
Wrentham,11271,783,111,20676,1926,116,17087.59,1/28/21
Yarmouth,24062,954,166,26824,3084,181,12817.05,1/28/21
